"order","canonical_id","learner_title","start_year","end_year","date_display","chapter","scope","inclusion_rationale","prerequisites","predecessor","successor","legacy_aliases","research_status","readiness"
"1","lesson.humans.homo-sapiens-origins","Our Species Begins in Africa","-300000","-200000","c. 300,000–200,000 years ago","01","Fossil and genetic evidence places Homo sapiens' emergence within structured, interacting populations in Africa.","Establishes shared African origins and shows how fossils and genomes reconstruct a complex population history.","None","—","lesson.humans.migrations-and-interbreeding","None","Source set identified","Planned"
"2","lesson.humans.migrations-and-interbreeding","Migrations, Encounters, and Ancient DNA","-70000","-40000","c. 70,000–40,000 years ago","01","Homo sapiens dispersals, interaction among populations, interbreeding with Neanderthals and Denisovans, adaptation, and the limits of inference from ancient DNA.","Explains how movement, encounter, and adaptation shaped living ancestry while modeling what genetic evidence can and cannot establish.","lesson.humans.homo-sapiens-origins","lesson.humans.homo-sapiens-origins","lesson.humans.sahul-crossing","None","Source set identified","Planned"
"3","lesson.humans.sahul-crossing","Crossing to Sahul","-65000","-50000","at least c. 65,000–50,000 years ago","01","Early sea crossings and settlement of Australia–New Guinea.","Shows planning and water travel long before states or farming.","lesson.humans.migrations-and-interbreeding","lesson.humans.migrations-and-interbreeding","lesson.humans.ice-age-lifeways","None","Source brief required","Planned"
"4","lesson.humans.ice-age-lifeways","Living Through the Ice Age","-45000","-15000","c. 45,000–15,000 BCE","01","Mobile communities, art, technology, and adaptation across varied environments.","Makes forager ingenuity memorable without treating farming as inevitable progress.","lesson.humans.migrations-and-interbreeding","lesson.humans.sahul-crossing","lesson.humans.peopling-americas","None","Source brief required","Planned"
"5","lesson.humans.peopling-americas","Peopling the Americas","-23000","-13000","before c. 13,000 BCE","01","Beringia, coastal possibilities, early sites, and unresolved chronology.","Introduces a consequential migration while modeling live archaeological uncertainty.","lesson.humans.ice-age-lifeways","lesson.humans.ice-age-lifeways","lesson.climate.holocene-transition","None","Framing review","Planned"
"6","lesson.climate.holocene-transition","Climate Change at the Start of the Holocene","-12900","-9700","c. 10,900–9700 BCE","01","Younger Dryas cooling, regional responses, and the warmer Holocene transition.","Explains environmental context without claiming a single climate cause for agriculture.","lesson.humans.peopling-americas","lesson.humans.peopling-americas","lesson.farming.multiple-origins","younger_dryas_reset","Framing review","Research required"
"7","lesson.farming.multiple-origins","Many Beginnings of Farming","-10000","-3000","c. 10,000–3000 BCE","01","Independent domestication in Southwest Asia, China, New Guinea, Africa, and the Americas.","Corrects the single-revolution model and gives prerequisite context for later food systems.","lesson.climate.holocene-transition","lesson.climate.holocene-transition","lesson.farming.settlements","neolithic_revolution","Source set identified","Planned"
"8","lesson.farming.settlements","Farming and Settlements","-9000","-3500","before 3500 BCE","01","A Southwest Asian case of cultivation, settlement, surplus, and tradeoffs.","Connects a global change to evidence learners can use before the first-city lesson.","lesson.farming.multiple-origins","lesson.farming.multiple-origins","lesson.animals.domestication-and-pastoralism","None","Current draft lesson","Ready candidate"
"9","lesson.animals.domestication-and-pastoralism","Animals, Herding, and Mobility","-9000","-2000","c. 9000–2000 BCE","01","Animal domestication, pastoral lifeways, mobility, and exchange across drylands.","Explains a durable alternative and complement to settled farming.","lesson.farming.multiple-origins","lesson.farming.settlements","lesson.technology.wheels-metals-and-work","animal_domestication","Source brief required","Planned"
"10","lesson.technology.wheels-metals-and-work","Wheels, Metals, and Specialized Work","-3600","-2000","c. 3600–2000 BCE","02","Wheeled transport, copper and bronze production, and specialist knowledge.","Explains technologies as systems of materials and labor rather than lone inventions.","lesson.farming.settlements","lesson.animals.domestication-and-pastoralism","lesson.uruk.first-city","bronze_age_begins|bronze_spreads|wheel|wheel_legacy","Framing review","Planned"
