"inventory_origin","legacy_id","legacy_title","legacy_date","legacy_era","legacy_region","disposition","proposed_canonical_id","proposed_title","proposed_date","destination","rationale","overlap_or_prerequisite_notes","research_editorial_status"
"timeline-stub","younger_dryas_reset","Younger Dryas: The Great Freeze","c. 10,800 BCE","prelude","Global","Reframe","lesson.climate.holocene-transition","Climate Change at the Start of the Holocene","c. 10,900–9700 BCE","World Spine — chapter 01","The topic is consequential, but the legacy title overstates a single event, inventor, cause, identity, or certainty; the canonical node teaches the broader evidence-based process.","Mapped to lesson.climate.holocene-transition; prerequisite(s): lesson.humans.peopling-americas.","Framing review; readiness: Research required."
"timeline-stub","abraham","Abraham & Origins of Monotheism","c. 1800 BCE","foundations","Canaan","Reframe","lesson.levant.israel-judah-evidence","Israel, Judah, Text, and Archaeology","c. 1000–586 BCE","World Spine — chapter 03","The topic is consequential, but the legacy title overstates a single event, inventor, cause, identity, or certainty; the canonical node teaches the broader evidence-based process.","Mapped to lesson.levant.israel-judah-evidence; prerequisite(s): lesson.bronze-age.transformation.","Framing review; readiness: Research required."
"timeline-stub","akhenaten","Akhenaten's Religious Revolution","c. 1353 BCE","foundations","Egypt","Move to another Journey type","None","None","None","Idea Trail — Belief, ritual, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","alashiya_cyprus","Alashiya/Cyprus: Copper Island","c. 1450 BCE","foundations","Cyprus","Merge","lesson.bronze-age.exchange-networks","Bronze Age Exchange Networks","c. 2300–1200 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.bronze-age.exchange-networks; prerequisite(s): lesson.technology.wheels-metals-and-work.","Source set identified; readiness: Ready candidate."
"timeline-stub","animal_domestication","Domestication of Animals","c. 8000 BCE","foundations","Middle East","Adapt or rename","lesson.animals.domestication-and-pastoralism","Animals, Herding, and Mobility","c. 9000–2000 BCE","World Spine — chapter 01","The topic earns core placement, with a learner-facing title, period, and scope adjusted to foreground causal and evidentiary value.","Mapped to lesson.animals.domestication-and-pastoralism; prerequisite(s): lesson.farming.multiple-origins.","Source brief required; readiness: Planned."
"timeline-stub","assyrian_trade","Old Assyrian Trade Colonies","c. 1900 BCE","foundations","Anatolia/Mesopotamia","Merge","lesson.bronze-age.exchange-networks","Bronze Age Exchange Networks","c. 2300–1200 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.bronze-age.exchange-networks; prerequisite(s): lesson.technology.wheels-metals-and-work.","Source set identified; readiness: Ready candidate."
"timeline-stub","bantu_migration","Early Bantu Migrations Begin","c. 1500 BCE","foundations","Africa","Reframe","lesson.africa.bantu-language-dispersals","Bantu-Language Dispersals","c. 1500 BCE–1000 CE","World Spine — chapter 03","The topic is consequential, but the legacy title overstates a single event, inventor, cause, identity, or certainty; the canonical node teaches the broader evidence-based process.","Mapped to lesson.africa.bantu-language-dispersals; prerequisite(s): lesson.farming.multiple-origins.","Framing review; readiness: Research required."
"timeline-stub","bronze_age_begins","Bronze Age Begins","c. 3300 BCE","foundations","Middle East","Reframe","lesson.technology.wheels-metals-and-work","Wheels, Metals, and Specialized Work","c. 3600–2000 BCE","World Spine — chapter 02","The topic is consequential, but the legacy title overstates a single event, inventor, cause, identity, or certainty; the canonical node teaches the broader evidence-based process.","Mapped to lesson.technology.wheels-metals-and-work; prerequisite(s): lesson.farming.settlements.","Framing review; readiness: Planned."
"timeline-stub","bronze_age_textiles","Bronze Age Textile Revolution","c. 1500 BCE","foundations","Eurasia","Move to another Journey type","None","None","None","Idea Trail — Ideas, expression, and interpretation","Historically worthwhile, but narrower, more biographical, more local, or more illustrative than the finite core sequence requires.","May deepen a canonical period without becoming a prerequisite or duplicate progress-bearing lesson.","Optional-path editorial brief required."
"timeline-stub","bronze_age_trade","Bronze Age Global Trade Networks","c. 2000 BCE","foundations","Eurasia","Merge","lesson.bronze-age.exchange-networks","Bronze Age Exchange Networks","c. 2300–1200 BCE","World Spine — chapter 02","This node supplies useful evidence, but its explanatory work is stronger inside the broader canonical synthesis and would otherwise duplicate required progress.","Mapped to lesson.bronze-age.exchange-networks; prerequisite(s): lesson.technology.wheels-metals-and-work.","Source set identified; readiness: Ready candidate."
